,Formatted Date,Temperature (C)
9,2006-04-10 10:00:00+02:00,15.094444444444449
10,2006-04-10 11:00:00+02:00,17.355555555555558
11,2006-04-10 12:00:00+02:00,19.00555555555555
12,2006-04-10 13:00:00+02:00,20.04444444444444
13,2006-04-10 14:00:00+02:00,21.05
14,2006-04-10 15:00:00+02:00,21.18333333333333
15,2006-04-10 16:00:00+02:00,20.11666666666666
16,2006-04-10 17:00:00+02:00,20.216666666666665
17,2006-04-10 18:00:00+02:00,20.0
18,2006-04-10 19:00:00+02:00,17.800000000000004
19,2006-04-10 20:00:00+02:00,16.06111111111111
20,2006-04-10 21:00:00+02:00,15.02222222222222
